Hisse    Temettü Tar  Verim   T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
GENIL    2024-08-06   %0.46  +1.50%    -1.34%    +0.48%    -0.20%    -0.41%    -1.36%    +0.83%    +2.67%    +1.93%    -0.39%    +1.71%    -1.35%    -0.59%    +3.95%    +4.56%   
TBORG    2024-08-06   %3.03  +7.73%    -1.14%    -3.10%    -3.47%    +0.38%    -0.19%    -4.44%    -1.48%    +0.30%    +2.40%    -0.68%    -1.82%    -1.05%    -0.81%    +0.00%   
BOBET    2024-08-07   %1.36  -2.70%    -0.47%    -2.99%    -1.19%    -3.83%    -9.21%    +0.81%    -0.24%    +1.45%    -1.75%    -2.67%    -2.58%    +0.00%    +3.76%    -0.91%   
SUWEN    2024-08-12   %0.68  +1.14%    -2.19%    -4.05%    -1.64%    +3.85%    +1.42%    +0.24%    -7.89%    -1.25%    +0.13%    +2.00%    +4.51%    +0.13%    -4.68%    +2.36%   
SDTTR    2024-08-13   %0.26  -3.28%    -9.59%    +7.42%    +1.92%    +1.89%    -4.88%    +2.92%    -1.98%    -2.28%    +0.72%    -1.69%    +0.09%    -2.90%    -1.59%    -1.52%   
ALFAS    2024-08-14   %1.22  -1.57%    -1.97%    -1.24%    -0.39%    -2.60%    -2.58%    -0.66%    -1.25%    +1.01%    +2.43%    +1.23%    -3.23%    +0.17%    -0.58%    -2.18%   
ISSEN    2024-08-15   %0.51  +4.98%    +1.58%    -0.61%    -4.35%    -0.82%    -2.66%    -0.19%    +1.32%    -1.30%    +2.26%    -1.38%    -2.34%    -0.57%    -1.73%    -1.96%   
LIDER    2024-08-16   %0.13  +2.92%    +5.99%    -0.06%    -0.42%    +0.90%    -1.01%    +2.93%    +1.34%    -2.07%    +0.12%    -1.64%    -1.43%    +0.79%    -0.48%    +5.00%   
BORLS    2024-08-20   %0.04  +3.74%    +5.32%    -0.84%    +0.27%    +7.63%    -0.30%    -0.54%    -0.74%    -0.50%    +1.76%    -2.47%    -5.57%    +1.88%    +3.84%    -0.05%   
EGPRO    2024-08-26   %1.81  +1.70%    -1.84%    +0.11%    -2.31%    +3.38%    -4.96%    -3.21%    -4.09%    -0.12%    +0.43%    +0.18%    +1.41%    -0.61%    -1.65%    +0.43%   
MTRKS    2024-08-27   %1.00  +2.13%    +1.75%    +1.76%    +0.04%    -2.29%    -4.94%    -3.38%    +0.40%    +1.65%    -0.75%    +1.99%    +0.30%    -3.33%    +1.70%    -2.24%   
GWIND    2024-08-27   %2.51  +1.20%    -1.37%    -1.83%    +0.26%    -0.39%    -3.87%    -2.55%    -2.62%    +1.91%    +3.19%    +1.88%    +0.73%    -0.52%    -0.20%    +0.13%   
AYEN     2024-08-29   %1.88  -1.31%    -0.93%    +0.00%    -1.00%    -2.29%    +0.35%    +1.03%    -2.72%    +1.26%    +0.69%    -0.48%    +1.38%    -0.07%    -1.97%    -0.69%   
CWENE    2024-08-29   %0.33  -2.42%    -2.16%    +0.00%    -0.75%    -2.55%    +0.49%    -0.92%    +2.44%    +1.14%    -0.47%    -1.99%    +0.05%    +0.87%    -3.73%    -1.99%   
TURSG    2024-08-29   %1.44  -1.25%    +3.00%    -0.84%    -2.40%    -0.48%    +0.40%    -0.87%    +0.72%    +2.86%    +0.54%    +0.69%    +1.60%    -3.46%    -2.33%    -0.64%   
DOAS     2024-09-02   %3.76  -0.13%    +0.43%    -0.81%    -2.28%    +2.77%    +0.04%    +2.26%    -2.63%    -2.10%    +0.31%    +0.35%    -2.00%    -2.84%    -1.10%    -0.09%   
AYES     2024-09-02   %0.65  -3.81%    +0.20%    -0.44%    +1.74%    +0.00%    +1.37%    +0.00%    -1.35%    -1.22%    -1.53%    +1.55%    +0.00%    -2.22%    +4.55%    +10.00%  
KONTR    2024-09-05   %0.08  +3.81%    +1.39%    -1.77%    +0.86%    +1.89%    -1.02%    +0.83%    +0.10%    -1.68%    -2.76%    -3.38%    -4.93%    +0.41%    +2.90%    -1.41%   
KRVGD    2024-09-10   %1.22  -1.08%    -0.36%    -2.20%    -0.37%    +1.50%    -3.33%    -1.15%    -5.04%    -4.08%    -0.43%    -0.43%    -1.29%    +0.43%    -0.43%    +2.61%   
PLTUR    2024-09-10   %0.20  +2.70%    +2.07%    +2.50%    +1.52%    +1.58%    -1.33%    +0.15%    -5.46%    -2.45%    -6.73%    +2.26%    +5.86%    -0.96%    -2.35%    +9.38%   
GRTHO    2024-09-13   %0.03  +0.57%    +3.56%    +9.24%    +3.73%    +4.72%    +2.82%    -0.15%    +0.37%    -2.30%    +1.90%    +5.36%    +2.33%    -9.94%    -0.38%    +0.23%   
ARASE    2024-09-23   %1.45  +2.51%    +0.50%    +0.00%    +1.88%    -0.10%    +0.39%    +9.98%    +3.96%    -4.24%    -2.74%    +1.91%    +0.00%    +0.89%    -2.57%    -3.27%   
FLAP     2024-09-24   %0.43  +4.35%    +10.00%   +9.94%    +0.09%    +3.70%    +3.73%    +10.00%   -5.67%    +4.63%    +2.65%    +1.51%    -5.94%    -10.00%   -9.94%    -3.53%   
ZRGYO    2024-09-26   %0.42  +5.31%    +0.36%    +6.46%    +6.74%    +2.74%    +4.20%    -1.67%    -1.60%    -0.20%    +0.20%    -0.81%    +4.10%    -5.12%    +6.02%    +5.97%   
ADEL     2024-09-26   %1.21  -0.82%    +2.40%    -1.31%    +0.78%    -1.13%    +0.41%    -2.19%    -3.26%    -3.42%    -5.49%    -2.37%    -8.65%    -2.84%    +3.53%    +6.53%   
TUPRS    2024-09-27   %6.32  -0.30%    +2.67%    -1.83%    +1.57%    +1.42%    -1.11%    +0.59%    -6.71%    -2.14%    +0.00%    -1.10%    -1.95%    +2.66%    -1.62%    +1.12%   
